Bing7777777,aaranshu2016,foobar,0LA AUTOCONNECT TT3S0,Psan,happylokayogaclasses,MOBIAN,Chandra Row3,0LA AUTOCONNECT Q8YPQ,lotus 4th floor 411,0LA AUTOCONNECT Q252F,Lotus pg 5th Floor,Debasree,RP,0LA AUTOCONNECT DVLVG,MADDY,JioFi2_0EBFBA,Nikhilsai 2nd floor extn,207_1,207_3,Lotus G15,0LA AUTOCONNECT H0GH4,Airtel_Zerotouch,Lotus602,iPhone,Amaravathipg2,Lotus 2nd floor 1,0LA AUTOCONNECT 367HQ,Balki_2AE3,Home-Airtel-2_5G,JP4F 2,Lotus1stfloorg11,manepalli,Lotus2ndfloor211,DIxG-Q1A4Njc2X0kwMg,0LA AUTOCONNECT 6NDRN,EverGreen,Karthikbangalore,Crack_Nozzle,Lotus second floor 202,Lotus6thfloor611,Lotus6thfloor615,Lotus4thfloor1,DIRECT-LRLABR3IUPGTmsGH,Ankur,vipin,D-Link_DIR-615,Deepak,Home-Airtel-2,Lalitha,MGMNT,Lotus pg basement,Home-Airtel,virus,Amaravathi pg4,AndroidAP,susheelaa,Dekhle_Hobe_khorcha_Aache!,masha,JP3F 4,Get Lost .. Its not yours,207_1_Guest,DHAR,SalehMohamed,Lotus3rdfloor315,sanchit
,,,,,,,,,,,,,,,,,,-74,-81,,,,,,,,,,-86,,,-78,,,,,,,,,,,,,,-90,,-79,,,,-73,-92,,,,,,,,-74,,-77,,
,,,,,,,,,,,,,,,,,,-74,,,,,,,,,,,-87,,,-78,,,,,,,,,,,,,,-90,,-83,,,,-74,-92,,,,,,,,-74,,-76,,-90
,,,,,,,,,,,,,,,,,,-75,,,,,,,,,,,-85,,,-78,,,,,,,,,,,,,,-89,,-82,,,,-73,-94,,,,,,,,-75,,-76,,-90
,,,,,,,,,,,,,,,,,,-75,-83,,,,,,,,,,-83,,,-77,,,,,,,,,,,,,,-87,,-81,,,,-73,-93,,,,,,,,-75,,-76,,-89
,,,,,,,,,,,,,,,,,,-75,-84,,,,,,,,,,-83,,,-78,,,,-86,,,,,,,,,,-87,,-76,,,,-73,-93,,,,,,,,-75,,-83,,-89
,,,,,,,,,,,,,,,,,,-69,-84,,,,,,,,,,-84,,,-79,,,,-86,,,,,,,,,,-89,,-76,,,,-70,-93,,,,,,,,-71,,-75,,
,,,,,,,,,,,,,,,,,,-67,,,,,,,,,,,-80,,,-79,,,,,,,,,,,,,,-89,,-74,,,,-70,-93,,,,,,,,-68,,-75,,-91
,,,,,,,,,,,,,,,,,,-67,-77,,,,,,,,,,-77,,,-78,,,,,,,,,,,,,,-88,,-74,,,,-77,,,,,,,,,-68,,-71,,-92
,,,,,,,,,,,,,,,,,,-73,-79,,,,,,,,,,-72,,,-78,,,,,,,,,,,,,,-92,,-70,,,,-73,-92,,,,,,,,-74,,-67,,-92
,,,,,,,,,,,,,,,,,,-73,-79,,,,,,,,,,-70,,,-79,,,,,,,,,,,,,,-90,,-67,,,,-71,-92,,,,,,,,-73,,-76,,
,,,,,,,,,,,,,,,,,,-74,-79,,,,,,,,,,-79,,,-81,,,,,,,,,,,,,,-91,,-67,,,-92,-71,,,,,,,,,-73,,-72,,
,,,,,,,,,,,,,,,,,,-74,-83,,,,,,,,,,-79,,,-78,,,,,,,,,,,,,,-91,,-67,,,,-74,,,,,,,,,-73,,-72,,
,,,,,,,,,,,,,,,,,,-58,-71,,,,,,,,,,-75,,,-73,,,,,,,,,,,,,,-78,,-57,,-83,,-62,-87,,,,,,,,-58,,-60,,-86
,,,,,,,,,,,,,,,,,,-58,-71,,,,,,,,,,-75,,,-75,,,,,,,,,,,,,,-78,,-64,,-84,-82,-66,-85,,,,,,,,-58,,-60,,-87
,,,,,,,,,,,-84,,,,,,,-61,-75,,,,,,,,,,-75,,,-76,,,,,,,,,,,,,,-81,,-63,,-87,-82,-70,-85,,,,,,,,-61,,-56,,-87
-77,,,,,,,,,,,-84,,,,,,,-60,-77,,,,,,,,,,-80,,,-77,,,,,,,,,,,,,,-81,,-63,,-84,-81,-68,-84,,,,-84,,,,-60,,-56,,-87
-77,,,,,,,,,,,-84,,,,,,,-59,-77,,,,,,,,,,-76,,,-74,,,,,,,,,,,,,,-81,,-66,,-83,-80,-69,-83,,,,-84,,,,-59,,-57,,
-82,,,,,,,,,,,,,,,,,,-66,-77,,,,,,,,,,-76,,,-73,,,,,,,,,,,,,,-86,,-62,,-83,-80,-70,-86,,,,-86,,,,-66,,-56,,
-81,,,,,,,,,,,,,,,,,,-66,-77,,,,,,,,,,-74,,,-73,,,,,,,,,,,,,,-90,,-63,,,-81,-69,-89,,,,-85,,,,-65,,-57,,
-77,,,,,,,,,,,,,,,,,,-64,-74,,,,,,,,,,-76,,,-74,,,,,,,,,,,,,,-90,,-63,,-86,-80,-69,-89,,,,-85,,,,-61,,-56,,-87
-76,,,,,,,,,,,,,,,,,,-60,-77,,,,,,,,,,-79,,,-76,,,,,,,,,,,,,,-82,,-63,,-85,-80,-72,-89,,,,-85,,,,-59,,-56,,-87
-76,,,,,,,,,,,,,,,,,,-61,-77,,,,,,,,,,-77,,,-75,,,,,,,,,,,,,,-84,,-63,,-85,-78,-71,-89,,,,-86,,,,-60,,-54,,-88
-78,,,,,,,,,-92,,,,,,,,,-59,-69,,,,,,,,,,-73,,,-75,,,,,,,,,,-90,,,,-81,,-71,,-87,-78,-70,-91,,,,-87,,,,-58,,-63,-90,-88
-80,,,,,,,,,-92,,,,,,,,,-58,-67,,,,,,,,,,-78,,,-77,,,,,,,,,,-90,,,,-82,,-63,,-83,,-69,-91,,,,-81,,,,-55,,-67,-90,-86
-80,,,,,,,,,,,-72,,,,,,,-56,-70,,,,,,,,,,-74,,,-73,,,,-85,,,,,,,,,,-83,,-69,,-83,,-65,-84,,,,-81,,,,-55,,-61,,-86
,,,,,,,,,,,-81,,,,,,,-55,-75,,,,,,,,,,-78,,,-75,,,,-85,,,,,,,,,,-83,,-69,,,,-73,-84,,,,,,,,-55,,-58,,
,,,,,,,,,,,-80,,,,,,,-53,-79,,,,,,,,,,-77,,,-74,,,,,,,,,,,,,,-81,-87,-66,,,,-73,,,,,,,,,-53,,-57,,
,,,,,,,,,,,-80,,,,,,,-52,-75,,,,,,,,,,-77,,,-72,,,,-79,,,,,,,,,,-86,-87,-66,,,,-74,-85,,,,,,,,-53,,-57,,
,,,,,,,,,,,,,,,,,,-53,-77,,,,,,,,,,-78,,,-72,,,,-79,,,,,,,,,,-88,,-66,,,,-74,-85,,,,,,,-77,-53,,-56,,
,,,,,,,,,,,,,,,,,,-53,-75,,,,,,,,,,-78,,,-72,,,,-87,,,,,,,,,,-74,,-65,,,-91,-74,-85,,,,,,,-77,-53,,-56,,
,,,,,,,,,,,,,,,,,,-53,-72,,,,,,,,,,-78,,,-76,,,,-80,,,,,,-89,,,,-74,,-65,,,-91,-73,-85,,,,,,,-81,-52,,-56,,
,,,,,,,,,,,,,,,,,,-53,-77,,,,,,,,,,-77,,,-77,,,,-80,,,,,,-89,,,,,,-65,,,,-73,-85,,,,-88,,,-78,-52,,-57,,-90
,,,,,,,,,,,,,,,,,,-53,-73,,,,,,,,,,-77,,,-72,,,,-79,,,,,,,,,,-92,,-65,,,,-73,-85,,,,-88,,,-78,-53,,-55,,-90
,,,,,,,,,,,,,,,,,,-53,-73,,,,,,,,,,-77,,,-72,,,,-88,,,,,,,,,,-92,,-65,,,,-73,-85,,,,-89,,,-81,-53,,-55,,
,-90,,,,,,,,,,-83,,,,,,,-52,-74,,,,,,,,,,-77,,,-72,,,,-80,,,,,,,,,,-80,-85,-65,,,-91,-73,-84,,,,-88,,,-81,-51,,-56,,
,-90,,,,,,,,,,-83,,,,,,,-53,-74,,,,,,,,,,-77,,,-70,,,,-79,,,,,,,,,,-80,-85,-65,,,-91,-73,-84,,,,-88,,,,-53,,-56,,
,,,,,,,,,,,,,,,,,,-53,-74,,,,,,,,,,-77,,,-76,,,,-79,,,,,,-91,,,,-89,-85,-65,,,-91,-73,-84,,,,,,,,-53,,-55,,
,,,,,,,-87,,,,,,,,,,,-53,-78,,,,,,,,,,-77,,,-70,,,,-78,,,,,,-91,,,,-87,-85,-65,,-87,,-73,-83,,,,-89,,,,-53,,-53,,
,,,,,,,-87,,,,,,,,,,,-53,-72,,,,,,,,,,-77,,,-71,,,,-86,-93,,,,,,,,,-90,,-65,,-87,-89,-73,-83,,,,-89,,,,-53,,-53,,
,,,,,,,,,,,,,,,,,,-53,-73,,,,,,,,,,-77,,,-71,,,,-86,-93,,,,,,,,,-90,-83,-65,,,-89,-73,-84,,,,-88,,,,-53,,-55,,
,,,,,,,,,,,-84,,,,,,,-53,-78,,,,,,,,,,-77,,,-72,,,,-87,,,,,,,,,,-90,-83,-65,,,,-73,-84,,,,-88,-89,,-76,-53,,-55,,-88
,,,,,,,,,,,-82,,,,,,,-53,-78,,,,,,,,,,-78,,,-79,,,,-87,,,,,,,,,,-90,-83,-64,,,-91,-73,-85,,,,-90,-89,,-76,-52,,-55,-93,-92
,,,,,,,,,,,-83,,,,,,,-53,-74,,,,,,,,,,-78,,,-72,,,,-80,,,,,,,,,,-90,-83,-64,,,-91,-73,-83,,,,-92,,,,-52,,-56,-93,-92
,,,,,,,,,,,-83,,,,,,,-53,-70,,,,,,,,,,-78,,,-71,,,,-80,,,,,,-91,,,,-78,,-64,,,-90,-73,-83,,,,-92,,,,-52,,-55,-93,-92
,,,,,,,,,,,,-86,,,,,,-53,-78,,,,,,,,,,-77,,,-71,,,,-77,,,,,,-91,,,,-77,,-65,,,-90,-71,-83,,,,-92,,,,-52,,-55,,
,,,,,,,,,,,,-86,,,,,,-53,-73,,,,,,,,,,-77,,,-75,,,,-77,,,,,,,,,,-77,,-65,,,,-71,-84,,,,-92,,,-77,-52,,-55,,
,,,,,,,,,,,,,,,,,,-53,-77,,,,,,,,,,-79,,,-71,,,,-77,,,,,,-92,,,,-78,,-66,,,-89,-71,-84,,,,-92,,,-77,-52,,-57,,
,,,,,,,,,-94,,,,,,,,,-53,-70,,,,,,,,,,-79,,,-71,,,,-77,,,,,,-92,,,,-79,,-63,,-88,-89,-71,-83,,,,,,,,-52,,-56,,-91
,,,,,,,,,-94,,,,,,,,,-51,-67,,,,,,,,,,-79,,,-71,,,,,,,,,,,,,,-90,,-63,,-88,-89,-71,-83,,,,,,,,-52,,-56,,-90
,,,,,,,,,,,,,,,,,,-51,-67,,,,,,,,,,-82,,,-69,,,,-79,,,,,,,,,,-80,,-63,,-88,-89,-71,-83,,,,,,,,-51,,-56,,-90
,,,,,,,,,,,,,,,,,,-51,-70,,,,,,,,,,-81,,,-71,,,,-79,,,,,,,,,,-80,,-66,,,-91,-71,-84,,,,,,,,-51,,-56,,-90
,,,,,,,-90,,,,,,,,,,,-52,-73,,,,,,,,,,-81,,,-67,,,,,,,,,,,,,,-78,,-63,,,-90,-71,-84,,,,-88,,,,-51,,-55,,-90
,,,,,,,-90,,,,,,,,,,,-52,-69,,,,,,,,,,-78,,,-67,,,,-89,,,,,,,,,,-77,,-67,,-92,-90,-73,-84,,,,-88,,,,-51,,-57,,-89
,,,,,,,,,,,,,,,,,,-52,-71,,,,,,,,,,-78,,,-70,,,,-80,,,,,,-92,,,,-77,,-69,,-92,-90,-70,,,,,,,,,-51,,-57,,-91
,,,,,,,,,,,,,,,,,,-52,-76,,,,,,,,,,-78,,,-72,,,,-85,,,,,,-90,,,,-77,,-65,,,,-72,-85,,,,,,,,-51,,-57,,-91
,,,,,,,,,,,,,,,,,,-52,-73,,,,,,,,,,-78,,,-68,,,,-85,,,,,,-90,,,,-79,,-67,,-91,,-72,-84,,,,,,,,-51,,-57,,-90
,,,-78,,,,,,,,,,,,,,,-50,-73,,,,,,,,,,-78,,,-68,,,,-77,,,,,,-90,,,,-87,,-67,,-91,,-72,-84,,,,,,,,-50,,-53,,-88
,,,-78,,,,,,,,-81,-89,,,,,,-50,-77,,,,,,,,,,-77,,,-74,,,,-83,,,,,,-90,,,,-91,,-68,,,-90,-69,-83,,,,,,,,-50,,-56,,-88
,,,,,,,,,,,-81,-89,,,,,,-50,-77,,,,,,,,,,-77,,,-72,,,,-85,,,,,,-90,,,,-82,,-64,,,-90,-70,-84,,,,,,,,-51,,-53,,-88
,,,,,,,,,,,,,,,,,,-52,-71,,,,,,,,,,-78,,,-73,,,,-85,,,,,,-90,,,,-80,,-67,,,-93,-70,-84,,,,,,,,-51,,-55,,-89
,,,,,,,,,,,,,,,,,,-52,-73,,,,,,,,,,-77,,,-73,,,,-88,,,,,,-90,,,,-80,,-67,,-90,-93,-70,-84,,,,,,,,-52,,-57,,-91
,,,,,,,,,,,,,,,,,,-52,-70,,,,,,,,,,-77,,,-74,,,,-79,,,,,,,,,,-80,,-64,,-89,,-70,-84,,,,,,,,-52,,-55,,-91
,,,,,,,,,,,,,,,,,,-52,-74,,,,,,,,,,-77,,,-73,,,,-79,,,,,,,,,,-80,,-63,,-89,,-70,-84,,,,,,,,-52,,-54,,
,,,,,,,-90,,,,,,,,,,,-52,-72,,,,,,,,,,-78,,,-71,,,,-87,,,,,,,,,,-79,-84,-64,,-91,,-70,-84,,,,,,,,-52,,-54,,
,,,,,,,-90,,,,-79,,,,,,,-52,-71,,,,,,,,,,-78,,,-72,,,,-87,,,,,,,,,,-78,-84,-67,,-91,-91,-73,-85,,,,-92,,,,-52,,-57,,
,,,,,,,,,,,-79,-86,,,,,,-52,-71,,,,,,,,,,-78,,,-72,,,,-79,,,,,,,,,,-87,,-59,,,-90,-72,-84,,,,-92,,,,-53,,-56,,-91
,,,,,,,,,,,-82,-86,,,,,,-52,-71,,,,,,,,,,-79,,,-79,,,,-77,,,,,,,,,,-81,,-63,,,-90,-71,-84,,,,,,,,-53,,-53,,-91
,,,,,,,,,,,-82,,,,,,,-52,-72,,,,,,,,,,-79,,,-74,,,,-77,,,,,,,,,,-80,,-67,,,,-71,-84,,,,,,,,-52,,-53,,
,,,,,,,,,,,,,,,,,,-52,-75,,,,,,,,,,-79,,,-73,,,,,,,,,,,,,,-79,,-63,,,-91,-72,-84,,,,-89,,,,-52,,-55,,-91
,,,,,,,,,,,,,,,,,,-52,-74,,,,,,,,,,-79,,,-73,,,,,,,,,,,,,,-87,,-67,,-89,-92,-72,-84,,,,-89,,,,-53,,-55,,-90
,,,,,,,,,,,,,,,,,,-52,-72,,,,,,,,,,-79,,,-72,,,,-88,,,,,,-90,,,,-81,,-64,,-90,-90,-72,-84,,,,,,,,-53,,-56,,-90
,,,,,,,,,,,,-86,,,,,,-53,-75,,,,,,,,,,-79,,,-78,,,,-80,,,,,,-90,,,,-88,,-64,,-90,-90,-73,-84,,,,-90,,,,-53,,-55,,-90
,,,,,,,,,,,,-86,,,,,,-53,-73,,,,,,,,,,-79,,,-74,,,,-80,,,,,,-92,,,,-88,-85,-66,,-90,-90,-72,-84,,,,-91,,,,-53,,-55,,-90
,,,,,,,,,,,-82,,,,,,,-51,-73,,,,,,,,,,-77,,,-78,,,,-78,,,,,,-92,,,,-80,-85,-64,,,-90,-70,-84,,,,-91,,,,-51,,-55,,-90
,,,,,,,,,,,-80,,,,,,,-51,-73,,,,,,,,,,-80,,,-74,,,,-78,,,,,,,,,,-80,-83,-63,,,-90,-70,-84,,,,,,,,-51,,-55,,
,,,,,,,,,,,-79,,,,,,,-51,-74,,,,,,,,,,-79,,,-73,,,,,,,,,,,,,,-78,-83,-63,,,-89,-71,-84,,,,,,,,-51,,-56,,
,,,,,,,,,,,-77,-91,,,,,,-52,-72,,,,,,,-90,,,-79,,,-73,,,,,,,,,,,,,,-78,,-67,,-92,-88,-71,-87,,,,-90,,,,-51,,-56,,
,,,,,,,,,,,-82,-91,,,,,,-52,-72,,,,,,,-90,,,-78,,,-73,,,,,,,,,,,,,,-78,,-63,,-92,-91,-71,-85,,,,-90,,,,-51,,-56,,-89
,,,,,,,,,,,-83,,,,,,,-51,-76,,,,,,,,,,-77,,,-73,,,,,,,,,,,,,,-78,,-63,,-91,-90,-70,-82,,,,,,,,-51,,-55,-93,-88
,,,,,,,,,,,-83,,,,,,,-51,-73,,,,,,,,,,-77,,,-73,,,,-78,,,,,,,,,,-79,,-63,,-91,-90,-70,-83,,,,,,,,-51,,-55,-93,-88
,,,,,,,,,,,,,,,,,,-52,-73,,,,,,,,,,-77,,,-73,,,,-85,,,,,,,,,,-81,,-63,,-90,-90,-70,-86,,,,-90,,,,-51,,-54,,-90
,,,,,,,,,,,,-90,,,,,,-52,-73,,,,,,,,,,-77,,,-73,,,,-79,,,,,,,,,,-81,-83,-67,,-89,,-70,-84,,,,-90,,,,-51,,-55,,-90
,,,,,,,,,,,,-90,,,,,,-51,-71,,,,,,,,,,-77,,,-73,,,,-76,,,,,,,,,,-80,-83,-63,,-89,-93,-70,-82,,,,-90,,,,-51,,-56,,-90
,,,,,,,,,,,,,,,,,,-52,-73,,,,,,,,,,-77,,,-72,,,,-76,,,,,,,,,,-79,-83,-67,,-89,-92,-70,-82,,,,,,,,-52,,-55,,-90
,,,,,,,,,,,,,,,,,,-52,-73,,,,,,,,,,-77,,,-73,,,,-88,,,,,,-90,,,,-88,-83,-65,,-90,-92,-70,-83,,,,,,,,-52,,-55,,
,,,,,,,,,,,,,,,,,,-52,-73,,,,,,,,,,-77,,,-73,,,,-80,,,,,,-90,,,,-80,-84,-64,,-90,-91,-70,-83,,,,-93,,,,-51,,-54,,-88
,,,,,,,,,,,,,,,,,,-51,-73,,,,,,,,,,-77,,,-73,,,,-85,,,,,,,,,,-88,-83,-64,,-91,-91,-70,-83,,,,-93,,,,-51,,-54,,-88
,,,,,,,,,,,,,,,,,,-51,-73,,,,,,,,,,-76,,,-74,,,,-85,,,,,,,,,,-90,-83,-64,,-91,-91,-70,-84,,,,,,,,-51,,-55,,-88
,,,,,,,,,,,,,,,,,,-51,-77,,,,,,,,,,-76,,,-74,,,,-86,,,,,,-92,,,,-82,,-64,,-91,-91,-69,-83,,,,,,,,-51,,-54,,-87
,,,,,,,,,,,-78,,,,,,,-51,-73,,,,,,,,,,-78,,,-74,,,,-81,,,,,,-92,,,,-87,-83,-64,,-90,-87,-73,-85,,,,,,,,-52,,-55,,-87
,,,,,,,,,,,-78,,,,,,,-51,-70,,,,,,,,,,-78,,,-71,,,,-81,,,,,,-92,,,,-79,-83,-64,,-90,-87,-71,-85,,,,,,,,-52,,-56,,
,,,,,,,,,,,-81,,,,,,,-52,-73,,,,,,,,,,-78,,,-72,,,,,,,,,,,,,,-79,,-65,,-90,-87,-75,-84,,,,,,,,-53,,-55,,
,,,,,,,,,,,-82,,,,,,,-53,-74,,,,,,,,,,-78,,,-78,,,,-78,,,,,,,,,,-78,,-65,,-90,-90,-73,-84,,,,,,,,-53,,-55,,
,,,,,,,,,,,-82,,,,,,,-53,-71,,,,,,,,,,-78,,,-74,,,,-78,,,,,,,,,,-78,,-65,,-85,-90,-73,-84,,,,-84,,,,-53,,-56,,
,,,,,,,,,,,-80,,,,,,,-53,-73,,,,,,,,,,-78,,,-73,,,,-81,-94,,,,,-88,,,,-78,,-64,,-85,-90,-72,-84,,,,-84,,,,-53,,-56,,
,,,,,,,,,,,-80,,,,,,,-53,-76,,,,,,,,,,-79,,,-73,,,,-79,-94,,,,,-88,,,,,,-64,,-90,-90,-70,-84,,,,-89,,,-75,-53,,-56,,
,,,,,,,,,,,-84,,,,,,,-53,-76,,,,,,,,,,-79,,,-73,,,,-86,,,,,,,,,,-80,,-68,,-90,-90,-70,-84,,,,-89,,,-75,-53,,-57,,
,,,,,,,,,,,-84,,,,,,,-53,-75,,,,,,,,,,-79,,,-73,,,,-82,,,,,,,,,,-80,-84,-64,,-90,-90,-70,-84,,,,,,,,-53,,-57,,
,,,,,,,,,,,,-86,,,,,,-53,-74,,,,,,,,,,-79,,,-73,,,,-86,,,,,,,,,,,-84,-64,,-87,-91,-71,-83,,,,,,,,-53,,-55,,
,,,,,,,,,,,,-86,,,,,,-53,-75,,,,,,,,,,-79,,,-73,,,,-86,,,,,,,,,,,,-65,,-87,-91,-71,-86,,,,,,,,-53,,-54,,
,,,,,,,,,,,,,,,,,,-53,-76,,,,,,,,,,-80,,,-73,,,,-81,,,,,,,,,,-80,,-65,,-87,,-71,-83,,,,,,,,-53,,-56,,
,,,,,,,,,,,,,,,,,,-53,-77,,,,,,,,,,-79,,,-74,,,,-81,,,,,,,,,,-80,,-65,,-87,-92,-71,-83,,,,-87,,,,-52,,-56,,-89
