Delete ,Home-Airtel-2,Home-Airtel,AndroidAP,Deepak,0LA_DRIVER_HOTSPOT_9880184381,Chandri,Get Lost .. Its not yours,lotus 4th floor 411,Debasree,bulla2,SusheelaaPG4network,Lotus pg basement,aaranshu2016,0LA AUTOCONNECT GS6QC,chandrapg4,virus,lotus 4th floor 401,Home-Airtel-2_5G,207_2,Lotus second floor 202,susheelaa,Ankur,Lotus G15,Lotus1stfloorg11,sekar,Cool,JPC 6TH ,Haveli,Lotus4thfloor1,BUZA-ZGFyc2FuYQ,Lotus 2nd floor 1,D-Link_DIR-615,Bing7777777,foobar,MGMNT,SusheelaaPGNetwork,manepalli,Princess Leia,Lotus2ndfloor211,Moto G (5) Plus 1910,Lotus3rdfloor301,masha,chandrapg2,Nehaswa,Amaravathi pg4,LotusG2,sanchit,The creep next door,207_1_Guest,Dekhle_Hobe_khorcha_Aache!,R@;€$#,Lotus602,207_1,Amaravathi pg3,@nu,Balki_2AE3,207_3,Airtel_Zerotouch,JP3F 4,BZ7r-dmljdmVua2F0MDEy,Lotus pg 5th Floor,ASHOK M,subhu,Lotus3rdfloor315,Moto G (5S) Plus 5179,vivo 1713,0LA AUTOCONNECT VB8YW,Chandra Row3,Lotus6thfloor615,Lotus3rdfloor311,JioFi2_EA0D27,Chandrapg3
,-67,-68,-80,-87,,,-76,,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-69,-86,,,-70,,,,-59,,,,,,-97,,,,,-85,,,,
,-65,-68,-80,-87,,,-76,-89,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,-85,,,,,,,,,,,,,,-68,-86,,,-69,,,,-62,,,,,,-97,,,,,-85,,,,
,-64,-65,-83,-85,,,,-89,,,,,,,,,,-72,,,,,,,,,,,,,,,-72,,-85,,,,,,,,,,,,,,-68,-86,,,-69,,,,-63,,,,,,,,,,,-82,,,,
,-64,-68,-83,-85,,,,,,,,,,,,,,-73,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-69,-88,,,-69,,,,-64,,,,,,,,,,,-82,,,,
,-64,-70,-86,-84,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-73,,,,,,,,,,,,,,,,-68,-88,,,-67,,,,-60,,,,,,,,,,,-86,,,,
,-63,-67,-85,-86,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-73,,-87,,,,,,,,,,,,,,-68,-88,,,-68,,,,-59,,,,,,,,,,,-85,,,,
,-61,-64,-85,-83,,,,,,,,,,,,,,-76,,,,,,,,,,,,,,,-81,,-87,,,,,,,,,,,,,,-72,-88,,,-72,,,,-62,,,,,,,,,,,-83,,,,
,-61,-65,,-87,,,,,,,,,,,,,,-73,,,,,,,,,,,,,,,-76,,-84,,,,,,,,,,,,,,-70,-85,,,-70,,,,-63,,,,,,,,,,,-83,,,,
,-65,-66,-78,-87,,,,,,,,,,,,,,-73,,,,,,,,,,,,,,,-76,,-85,,,,,,,,,,,,,,-69,-83,,,-70,,,,-62,,,,,,,,,,,-84,,,,
,-64,-66,-82,-87,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-77,,-85,,,,,,,-89,,,,,,,-69,-84,,,-70,,,,-62,,,,,,-90,,,,,-84,,,,
,-61,-66,-82,-87,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-75,,-86,,,,,,,-89,,,,,,,-66,-85,,,-68,,,,-62,,,,,,-90,,,,,-84,,,,
,-61,-66,,-89,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-71,,-86,,,,,,,-86,,,,,,,-69,-85,,,-70,,,,-66,,,,,,,,,,,-84,,,,
,-67,-67,,-89,,,,-87,,,,,,,,,,-72,,,,,,,,,,,,,,,-72,,,,,-91,,,,-86,,,,,,,-68,-84,,,-69,,,,-64,,,,,,,,,,,-84,,,,
,-68,-68,,-88,,,,-86,,,,-88,,,,,,-72,-83,,,,,,,,,,,,,,-75,,-82,,,-91,,,,-89,,,,,,,-68,-85,,,-69,,,,-67,,,,,,,,,,,-84,,,,
,-63,-67,,-87,,,,-86,,,,-87,,,,,,-73,-83,,-91,,,,,,,,,,,,-77,,-84,,,,,,,-86,,,,,,,-68,-86,,,-69,,,,-65,,,,,,,,,,,-85,,,,
,-66,-67,,-87,,,,,,,,-87,,,,,,-73,-83,,-91,,,,,,,,,,,,-75,,-84,,,,,,,-86,,,,,,,-68,-86,,,-69,,,,-66,,,,,,,,,,,-85,,,,
,-62,-67,,-90,,,,-90,,,,,,,,,,-72,,,-93,,,,,,,,,,,,-75,,-84,,,,,,,,,,,,,,-68,-86,,,-66,,,,-63,,,,,,,,,,,-85,,,,
,-63,-67,,-90,,,,-90,,,,,,,,,,-73,,,-93,,,,,,,,,,,,-75,,-84,,,,,,,,,,,,,,-68,-86,,,-67,,,,-59,,,,,,-90,,,,,-88,,,,
,-66,-67,,,,,,,,,,,,,,,,-71,,,-92,,,,,,,,,,,,-75,,-84,,,-90,,,,,,,,,,,-66,-86,,,-66,,,,-61,,,,,,-90,,,,,-76,,,,
,-62,-69,,,,,,,,,,,,,,,,-78,,,-92,,,,,,,,,,,,-71,,,,,-90,,,,,,,,,,,-70,,,,-69,,,,-59,,,,,,,,,,,-76,,,,
,-62,-68,,,,,-80,,,,,,,,,,,-79,,,,,,,,,,,,,,,-70,,-86,,,,,,,,,,,,,,-75,-87,,,-75,,,,-60,,,,,,,,,,,-76,,,,
,-60,-68,,,,,-80,,,,,-91,,,,,,-79,,,,,,,,,,,,,,,-71,,-86,,,,,,,,,,,,,,-74,-87,,,-72,,,,-56,,,,,,,,,,,-75,,,,
,-57,-67,,,,,,,,,,-91,,,,,,-78,-78,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,-74,,,,-74,,,,-62,,,,,,,,,,,-75,,,,
,-61,-67,,,,,,,,,,,,,,,,-77,-78,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,-74,,,,-74,,,,-59,,,,,,,,,,,-75,,,,
,-61,-67,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-72,,-87,,,,,,,,,,,,,,-73,-88,,,-74,,,,-62,,,,,,,,,,,-75,,,,
,-62,-66,,,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,-79,,-87,,,,,,,,,,,,,,-76,-86,,,-75,,,,-63,,,,,,,,,,,-75,,,,
,-59,-66,,,,,,,,,,-91,,,,,,-79,,,,,,,,,,,,,,,-75,,,,,,,,,,,,,,,,-73,-86,,,-72,,,,-64,,,,,,,,,,,-75,,,,
,-58,-66,,,,,,,,,,-90,,,,,,-79,-76,,,,,,,,,,,,,,-75,,-87,,,,,,,,,,,,,,-74,-87,,,-73,,,,-60,,,,,,,,,,,-75,,,,
,-58,-66,,,,,,,,,,-90,,,,,,-79,-76,,,,,,,,,,,,,,-73,,-86,,,,,,,,,,,,,,-74,-86,,,-73,,,,-64,,,,,,,,-95,,,-75,,,,
,-59,-66,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-71,,-86,,,,,,,,,,,,,,-75,-86,,,-74,,,,-68,,,,,,,,-95,,,-75,,,,
,-58,-67,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-71,,,,,,,,,,,,,,,,-74,-86,,,-74,,,,-65,,,,,,,,,,,-75,,,,
,-59,-67,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,-72,,,,-74,,,,-68,,,,,,,,,,,-74,,,,
,-60,-67,,,,,,,,,,,,,,,,-79,-85,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,-74,,,,-75,,,,-61,,,,,,,,,,,-76,,,,
,-60,-67,,,,,,,,,,,,,,,,-79,-85,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,-75,-87,,,-76,,,,-65,,,,,,,,,,,-76,,,,
,-61,-67,,,,,,,,,,,,,,,,-79,-82,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,-78,-85,,,-74,,,,-62,,,,,,,,,,,-75,,,,
,-61,-66,,,,,,,,,,,,,,,,-79,-82,,,,,,,,,,,,,,-70,,,,,,,,,,,,,,,,-78,-85,,,-75,,,,-62,,,,,,,,,,,-75,,,,
,-60,-66,,,,,,,,,,,,,,,,-79,-84,,,,,,,,,,,,,,-73,,-84,,,,,,,,,,,,,,-73,-86,,,-72,,,,-63,,,,,,,,,-88,,-75,,,,
,-59,-66,,,,,,,,,,,,,,,,-80,-84,,,,,,,,,,,,,,-71,,-84,,,,,,,,,,,,,,-73,-86,,,-73,,,,-61,,,,,,,,-87,-88,,-75,,,,
,-62,-67,,,,,,,,,,,,,,,,-81,-81,,,,,,,,,,,,,,-71,,,,,,,,,,,,,,,,-76,,,,-75,,,,-63,,,,,,,,-87,-89,,-75,,,,
,-58,-67,,,,,,,,,,-90,,,,,,-80,-85,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,,-76,,,,-75,,,,-58,,,,,,,,,-89,,-75,,,,
,-60,-67,,,,,,,,,,-90,,,,,,-80,-85,,,,,,,,,,,,,,-75,,,,,,,,,,,,,,,,-72,-88,,,-73,,,,-63,,,,,,,,,,,-77,,,,
,-57,-66,,,,,,,,,-90,-90,,,,,,-81,,,,,,,,,,,,,,,-75,,,,,,,,,,,,,,,,-73,-86,,,-73,,,,-61,,,,,,,,,,,-76,,,,
,-59,-66,,,,,,,,,-90,,,,,,,-78,-82,,,,,,,,,,,,,,-75,,,,,,,,,,,,,,,,-73,-86,,,-73,,,,-65,,,,,,,,,,,-76,,,,
,-57,-66,,,,,,,,,,-90,,,,,,-80,-82,,,,,,,,,,,,,,-74,,-87,,,,,,,,,,,,,,-77,-87,,,-76,,,,-66,,,,,,,,,,,-75,,,,
,-57,-66,,,,,,,,,,-89,,,,,,-80,-82,,,,,,,,,,,,,,-72,,-87,,,,,,,,,,,,,,-73,-87,,,-73,,,,-62,,,,-89,,,,,,,-76,,,,
,-59,-66,,,,,,,,,,-89,,,,,,-79,,,,,,,,,,,,,,,-71,,-87,,,,,,,,,,,,,,-74,-85,,,-73,,,,-58,,,,-89,,,,,,,-75,,,,
,-61,-66,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-74,,-87,,,,,,,,,,,,,,-74,-85,,,-74,,,,-61,,,,,,,,,,,-75,,,,
,-61,-66,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-74,,-87,,,,,,,,,,,,,,-77,-85,,,-77,,,,-64,,,,,,,,,,,-75,,,,
,-58,-66,,,,,,,,,,,,,,,,-79,,,-92,,,,,,,,,,,,-75,,,,,,,,,,,,,,,,-76,-85,,,-77,,,,-62,,,,,,,,,-83,,-75,,,,
,-62,-66,,,,,,,,,,,,,,,,-80,,,-92,,,,,,,,,,,,-75,,-87,,,,,,,,,,,,,,-75,-85,,,-75,,,,-59,,,,,,-90,,,-83,,-74,,,,
,-61,-66,,,,,,,,,,,,,,,,-77,-85,,,,,,,,,,,,,,-75,,-87,,,,,,,,,,,,,,-78,-88,,,-77,,,,-70,,,,,,-90,,,-88,,-73,,,,
,-61,-66,,,,,,,,,,,,,,,,-77,-82,,,,,,,,,,,,,,-75,,-90,,,,,,,,,,,,,,-74,-88,,,-73,,,,-63,,,,,,,,,-88,,-75,,,,
,-62,-67,,,,,,,,,,,,,,,,-77,-82,,,,,,,,,,,,,,-79,,-90,,,,,,,,,,,,,,-74,,,,-73,,,,-71,,,,,,-91,,,-88,,-76,,,,
,-63,-71,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-71,,,,-71,,,,-65,,,,,,-91,,,-76,,-76,,,,
,-59,-71,,,,,,,,,-91,,,,,,,-79,-80,,,,,,,,,,,,,,-71,,,,,,,,,,,,,,,,-68,,,,-68,,,,-65,,,,,,,,,-77,,-75,,,,
,-62,-72,,,,,,,,,-91,,,,,,,-83,-80,,,,,,,,,,,,,,-75,,,,,,,,,,,,,,,,-69,,,,-69,,,,-60,,,,,,,,,-77,,-74,,,,
,-59,-71,-89,,,,,,,,,-92,,,,,,-82,-82,,,,,,,,,,,,,,-73,,-87,,,,,,,,,,,,,,-68,,,,-68,,,,-61,,,,,,-90,,,-80,,-72,,,,
,-64,-71,-88,,,,,,,,,-92,,,,,,-82,-82,,,,,,,,,,,,,,-73,,-87,,,-95,,,,,,,,,,,-68,,,,-68,,,,-62,,,,,,-90,,,-81,,-73,,,,
,-64,-71,-87,,,,,,,,,,,,,,,-83,,,,,,,,-89,,,,,,,-74,,,,,-95,,,,,,,,,,,-68,-87,,,-69,,,,-56,,,,,,,,,-77,,-75,,,,
,-56,-70,-86,,,,,,,,,,,,,,,-83,-83,,,,,,,-91,,,,,,,-70,,,,,,,,,,,,,,,,-68,-87,,,-67,,,,-62,,,,,,,,,-78,,-75,,,,
,-61,-69,-84,,,,,,,,,,,,,,,-83,-83,,,,,,,-91,,,,,,,-69,,,,,,,,,,,,,,,,-67,-87,,,-67,,,,-61,,,,,,,,,-79,,-75,,,,
,-63,-68,-85,,,,,,,,-90,,,,,,,-84,-79,,,,,,,-89,,,,,,,-73,,,,,,,,,,,,,,,,-68,,,,-69,,,,-62,,,,,,,,,-79,,-75,,,,
,-60,-65,-85,,,,,,,,-90,-84,,,,,,-74,-82,,,,,,,-89,,,,,,,-64,,,,,,,,,,,,,,,,-66,,,,-68,,,,-71,,,,,,,,,-79,,-78,,,,
,-58,-67,,,,,,,,,,-84,,,,,,-73,-82,,,,,,,,,,,,,,-76,,,,,,,,,,,,,,,,-71,-90,,,-72,,,,-68,,,,,,,,,-79,,-78,,,,
,-58,-67,,,,,,,,,,,,,,,,-73,-82,,,,,,,,,,,,,,-76,,-92,,,,,,,,,,,,,,-72,-90,,,-72,,,,-68,,,,,,,,,-89,,-78,,,,
,-60,-66,,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,-76,,-92,,,,,,,,,,,,,,-70,,,,-70,,,,-67,,,,,,,,,-89,,-78,,,,
,-60,-68,,,,,,,,,,-93,,,,,,-80,-81,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,,-69,,,,-64,,,,-61,,,,,,,,,,,,,,,
,-62,-70,,,,,,,,,,-93,,,,,,-82,-81,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,,-69,,,,-68,,,,-61,,,,,,,,,,,-82,,,,
,-68,-69,,,,,,,,,,,,,,,,-80,-81,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,,-69,,,,-68,,,,-65,,,,,,,,,-91,,-81,,,,
,-68,-71,,,,,,,,,,,,,,,,-80,-81,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,,-66,,,,-67,,,,-64,,,,,,,,,-91,,-81,,,,
,-64,-71,,,,,,,,,,,,,,,,-80,-79,,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,-66,,,,-64,,,,-66,,,,,,,,,,,-81,,,,
,-62,-71,,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,-65,,,,-64,,,,-62,,,,,,,,,,,-81,,,,
,-63,-71,,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,-78,,,,,,,,,,,,,,,,-66,,,,-67,,,,-66,,,,,,,,,,,-80,,,,
,-68,-71,,,,,,,,,,,,,,,,-80,-80,,,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,-67,,,,-67,,,,-64,,,,,,,,,,,-80,,,,
,-64,-71,,,,,,,-87,,,,,,,,,-79,-80,,,,,,,,,,,,,,-82,,,,,,,,,,,,,,,,-67,,,,-67,,,,-65,,,,,,,,,,,-79,,,,
,-68,-69,,,,,,,-87,,,,,,,,,-79,-80,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,-67,,,,-67,,,,-67,,,,,,,,-85,,,-79,,,,
,-64,-72,,,,,,,,,,,,,,,,-79,-78,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,-67,,,,-68,,,,-63,,,,,,,,-85,,,-80,,,,
,-64,-71,,,,,,,,,,,,,,,,-78,-78,,,,,,,,,,,,,,-80,-94,,,,,,,,,,,,,,,-66,,,,-66,,,,-67,,,,,,,,,,,-80,,,,
,-69,-71,,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,-79,-92,,,,,,,,,,,,,,,-66,,,,-66,,,,-64,,,,,,,,,,,-81,,,,
,-69,-71,,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,-84,-92,,,,,,,,,,,,,,,-66,,,,-66,,,,-66,,,,,,,,,,,-81,,,,
,-68,-71,,,,,,,,,,,,,,,,-79,-79,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,-64,,,,-64,,,,-62,,,,,,,,,,,-80,,,,
,-64,-71,,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-80,-92,,,,,,,,,,,,,,,-65,,,,-65,,,,-70,,,,,,,,,,,-79,,,,
,-59,-68,,,,,,,,,,,,,,,,-75,-81,,,,,,,,,,,,,,-79,-92,,,,,,,,,,,,,,,-76,,,,-75,,,,-67,,,,,,,,,,,-78,,,,
,-59,-69,,,,,,,,,,,,,,,,-83,-78,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,,-61,,,,-61,,,,-66,,,,,,,,,,,-78,-86,,,
,-67,-73,,,,,,,,,,,,,,,,-85,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,,,,-60,,,,-68,,,,,,,,,,,-83,-85,,,
,-66,-73,,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,-77,,,,,,,,,,,,,,,,-60,,,,-60,,,,-73,,,,,,,,,,,-83,-85,,,
,-66,-72,,,,,,,,,,,,,,,,-84,-83,,,,,,,,,,,,,,-78,,,,,,,,,,,,,,,,-58,,,,-59,,,,-70,,,,,,,,,,,-82,-84,,,
,-66,-72,,,,,,,,,,,,,,,,-85,-83,,,,,,,,,,,,,,-78,,,,,,,,,,,,,,,,-62,,,,-62,,,,-70,,,,,,,,,,,-83,-84,,,
,-64,-72,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,-77,,,,,,,,,,,,,,,-90,-62,,,,-62,,,,-66,,,,,,,,,,,-83,,,,
,-62,-71,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,-79,,,,,,,,,,,,,,,-90,-62,,,,-63,,,,-67,,,,,,,,,,,-83,,,,
,-64,-71,,,,,,,,,,,,,,,,-80,-83,,,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,-58,,,,-59,,,,-64,,,,,,,,,,,-80,-83,,,
,-58,-64,,,,,,,,,,,,,,,,-79,-83,,-90,,,,,,,,,,,,-81,,,,,,,,,,,,,,,,-73,,,,-74,,,,-60,,,,,,,,,,,-83,-83,,,
,-58,-68,,,,,,,,,,,,,,,,-77,,,-90,,,,,,,,,,,,-74,,-82,,,,,,,,,,,,,,-77,-83,,,-77,,,,-65,,,,,,,,,,,-83,,,,
,-55,-61,,,,,,,,,,,,,,,,-77,-76,,,,,,,,,,,,,,-74,,-82,,,,,,,,,,,,,,-76,-82,,,-76,,,,-57,,,,,,,,-96,,,-83,,,,
,-57,-58,,,,,,,,,,,,,,,,-76,-75,,,,,,,,,,,,,,,,-82,,,,,,,-90,,,,,,,-73,-84,,,-72,,,,-62,,,,,,,,-96,,,-84,,,,
,-55,-57,,-91,,,,,,,,,,,,,,-76,-76,,,,,,,,,,,,,,-81,,-82,,,,,,,-90,,,,,,,-73,-83,,,-72,,,,-58,,,,,,,,,,,-84,,,,
