Lotus6thfloor615,Haveli,Crack_Nozzle,MGMNT,virus,Chandrapg3,Lotus pg 5th Floor,DHAR,Lotus5thfloor501,lotus 4th floor 411,NikhilSai3floor,D-Link_DIR-615,Lotus4thfloor1,happylokayogaclasses,207_3,Princess Leia,Lotus6thfloor611,Lotus3rdfloor301,Lotus pg 5th floor 511,susheelaa,lotus 4th floor 401,JioFi2_A083B4,Dekhle_Hobe_khorcha_Aache!,MI MAX 2,aaranshu2016,NikhilSai4thFloor,Chandra Row3,Lotus1stfloorg11,varsha,Debasree,Get Lost .. Its not yours,Meet_your_Makers,Lotus602,207_2,Lenovo A7000-a,Nikhilsai 2nd floor extn,chandrapg1,Home-Airtel-2_5G,Lotus3rdfloor315,chandrapg4,The creep next door,Home-Airtel-2,0LA AUTOCONNECT 1904Z,sanchit,EverGreen,manepalli,207_1_Guest,SusheelaaPG4network,Home-Airtel,Amaravathi pg4,Lotus 2nd floor 1,Airtel-E5573-03A4,nikhilsai 4th floor extn,Act-shivam,Amaravathi pg3,Bing7777777,STRIKERS,Deepak,Chandra123,0LA_DRIVER_HOTSPOT_9538268467,SalehMohamed,Trident Jio,207_1
,,,,-88,-94,-89,-89,,,,,,,-80,,,,,,,,,,,,-80,,,,,,,-66,,,,,,,,-80,,,-81,-73,-53,,-80,,,,,,,,,,,,-74,,-53
,,,,,-93,-89,-87,,,,,,,,,,,,,,,,,,-86,-80,,,,,,,-65,,,,,,,,-80,,,-77,-73,-53,,-77,,,,-89,,,,,,,,-72,,-53
,,,,,-91,-89,-88,,,,,,,,,,,,,,,,,,-86,-81,,,,,,,-66,,,,,,,,-79,,,-81,-73,-53,,-77,,,,-89,,,,,,,,-72,,-53
,,,,,-91,-89,-89,,,,,,,,,,,,,,,,,,,-81,,,,,,,-66,,,,,,,,-77,,,-81,-73,-53,,-79,,,,,,,,,,,,-72,,-54
,,,,,-92,,-88,,,,,,,-77,,,,,,,,,,,-85,-81,,,,,,,-66,,,,,,,,-79,,,-77,-73,-52,,-78,,,,,,,,,,,,-72,,-52
,,,,-87,-92,,-89,,,,,,,-77,,,,,,,,,,,-85,-81,,,,,,,-66,,,,,,,,-79,,,-76,-72,-52,,-80,,,,,,,,,,,,-72,,-53
,,,,-87,,,-87,,,,,,-91,-79,,,,,,,,,,,,-81,,,,,,,-65,,,,,,,,-79,,,-75,-72,-52,,-79,,,,,,,,,,,,-74,,-52
,,,,-91,,,-87,,,,,,-91,-79,,,,,,,,,,,,-80,,,,,,,-66,,,,,,,,-78,,,-75,-73,-53,,-80,,,,,,,,,,,,-73,,-53
,,,,-89,-92,,-87,,,,,,,,,,,,,,,,,,-86,-80,,,,,,,-66,,,,,,,,-81,,,,-73,-53,,-80,,,,-91,,,,,,,,-74,,-53
,,,,-91,-92,-91,-87,,,,,,-92,,,,,,,,,,,,-86,-80,,,,,,,-66,,,,,,,,-80,,,-84,-73,-54,,-78,,,,-91,,,,,,,,-72,,-54
,,,,-91,-91,-91,-87,,,,,,-92,-81,,,,,,,,,,,-86,-81,,,,,,,-65,,,,,,,,-76,,,-76,-73,-58,,-79,,,,,,,,,,,,-72,,-58
,,,,-93,-91,,-90,,,,,-92,,-81,,,,,,,,,,,-86,-81,,,,,,,-66,,,,,,,,-76,,,-77,-73,-55,,-78,,,,-91,,,,,,,,-71,,-55
,,,,-93,,,-89,,,,,-92,,,,,,,,,,,,,-85,-81,,,,,,,-66,,,,,,,,-78,,,-76,-73,-54,,-78,,,,-91,,,,,,,,-71,,-54
,,,,,,,-89,,,,,,,,,,,,,,,,,,-85,-81,,,,,,,-66,,,,,,,,-79,,,-76,-73,-54,,-79,,,,,,,,,,,,-72,,-53
,,,,-90,,,,,,-86,,,,-80,,,,,,,,,,,-85,-80,,,,,,,-67,,,,,,,,-80,,,-77,-73,-53,,-79,,,,,,,,,,,,-73,,-53
-92,,,,-90,-92,,-88,,,-86,,,-93,-80,,,,,,,,,,,,-80,,,,,,,-67,,,,,,,,-76,,,-77,-73,-55,,-80,,,,-93,,,,,,,,-73,,-56
-92,,,,,-90,,-92,,,,,,-93,-83,,,,,,,,,,,-85,-80,,,,,,,-66,,,,,,,,-76,,,-80,-73,-55,,-80,,,,-93,,,,,,,,-73,,-56
,,,,-91,-91,-92,-88,,,,,,,-83,,,,,,,,,,,-85,-80,,,,,,,-64,,,,,,,,-82,,,-80,-73,-63,,-79,,,,,,,,,,,,-73,,-64
,,,,-91,-91,-92,-88,,,,,,,-81,,,,,,,,,,,-86,-82,,,,,,,-66,,,,,,,,-76,,,,-70,-59,,-79,,,,,,,,,,,,-73,,-60
,,,,,-94,,-88,,,,-81,,,-81,,,,,,,,,,,-86,-82,,,,,,,-66,,,,,,,,-78,,,,-72,-61,,-81,,,,,,,,,,,,-71,,-61
,,,,,-94,,-86,,,,-81,,,-81,,,,,,,,,,-89,,-82,,,,,,,-66,,,,,,,,-78,,,,-74,-63,,-80,,,,,,,,,,,,-74,,-64
,,,,,,,-86,,,-84,,,,-81,,,,,,,,,,-89,,-80,,,,,,,-66,,,,,,,,-78,,,,-71,-69,,-80,,,,,,,,,,,,-73,,-68
,,,,,,,-88,,,-84,,,,-81,,,,,,,,,,,-86,-80,,,,,,,-65,,,,,,,,-78,,,,-72,-70,,-76,,,,,,,,,,,,-73,,-69
,,,,-87,,,-87,,,,,,,-85,,,,,,,,,,,-86,-80,,,,,,,-65,,,,,,,,-77,,,-77,-72,-63,,-78,,,,,,,,,,,,-73,,-63
,,,,-87,,,-88,,,-84,,,,-89,,,,,,,,,,,,-82,,,,,,,-67,,-90,,,,,,-77,,,-77,-72,-67,,-78,,,,,,,,,,,,-74,,-67
,,,,-95,-93,-90,-87,,,-84,,,,-89,,,,,,,,,,,-85,-82,,,,,,,-66,,-90,,,,,,-78,,,-77,-73,-67,,-77,,,,,,,,,,,,-74,,-68
,,,,-95,-93,-90,-87,,,,,,,,,,,,,,,,,,-85,-82,,,,,,,-67,,,,,,,,-78,,,-82,-73,-69,,-76,,,,-89,,,,,,,,-73,,-69
,,,,,-93,,-88,,,,,,,,,,,,,,,,,,-85,-82,,,,,,,-67,,,,,,,,-78,,,-78,-72,-71,,-76,,,,-89,,,,,,,,-73,,-71
,,,,-91,-93,,-88,,,,,,,-86,,,,,,,,,,,,-82,,,,,,,-67,,,,,,,,-79,,,-83,-72,-71,,-74,,,,-88,,,,,,,,-73,,-70
-91,,,,-91,,,-88,,,,,,,-79,,,,,,,,,,,,-82,,,,,,,-66,,,,,,,,-79,,,-83,-72,-57,,-79,,,,-88,,,,,,,,-73,,-58
-91,,,,-89,,,-88,,,,,,,-77,,,,,,,,,,,,-80,,,,,,,-66,,,,,,,,-79,,,-85,-72,-54,,-79,,,,,,,,,,,,-73,,-55
,,,,-89,-92,,-87,,,,,,,-78,,,,,,,,,,,,-80,,,,,,,-66,,,,,,,,-78,,,-85,-72,-54,,-82,,,,,,,,,,,,-73,,-53
,,,,-89,-92,,-91,,,,,,,-78,,,,,,,,,,,,-81,,,,,,,-66,,,,,,,,-78,,,-77,-71,-64,,-81,,,,-91,,,,,,,,-71,,-64
-90,,,,,-92,,-89,,,,,,,-78,,,,,,,,,,,,-82,,,,,,,-67,,,,,,,,-78,,,-81,-72,-59,,-77,,,,-91,,,,,,,,-71,,-60
-90,,,,,-92,,-89,,,,,,,-84,,,,,,,,,,,,-79,,,,,-92,,-68,,,,-90,,,,-79,,,-84,-73,-58,,-82,,,,,,,,,,,,-71,,-59
,,,,-89,-92,,,,,,,,,-84,,,,,,,,,,,,-84,,,,,-92,,-74,,,,-90,,,,-75,,,-84,-75,-60,,-81,,,,,,,,,,,,-71,,-60
-89,,,,-89,,,-90,,,,,,,-78,,,,,,,,,,,,-84,,,,,,,-76,,,,-82,,,,-70,,,-80,-76,-61,,-74,,,,,,,,,,,,-68,,-62
-89,,,,,,,-90,,,,,,,-75,,,,,,,,,,,,-84,,,,,,,-74,,,,-81,,,,-68,,,-80,-77,-63,,-74,,,,,,,,,,,,-67,,-62
,,,,,,,-89,,,,,,,-75,,,,,,,,,,,,-83,,,,,,,-71,,,,-80,,,,-67,,,-81,-78,-59,,-74,,,,,,,,,,,,-65,,-59
,,,,,,,-86,,,,,,,-75,,,,,,,,,,,,-83,,,,,,,-74,,,,-81,,,,-68,,,-81,-78,-63,,-74,,,,,,,,,,,,-66,,-63
,,,,,,,-86,,,,,,,-75,,,,,,,,,,,,-80,,,,,,,-71,,,,-82,,,,-72,,,,-79,-59,,-74,,,,,,,,,,,,-66,,-60
,,,,,,-87,-86,,,,,,,-75,,,,,,,,,,,,-80,,,,,,,-75,,,,-82,,,,-72,,,,-77,-58,,-73,,,,,,,,,,,,-66,,-57
,,,,-90,,-87,-89,,,,,,,,,,,,,,,,,,,-82,,,,,,,-76,,,,-82,,,,-73,,,,-77,-57,,-74,,,,,,,,,,,,-66,,-58
-89,,,,-89,,,-88,,,,,,,-75,,,,,,,,,,,,-81,,,,,,,-76,,,,-84,,,,-73,,,,-77,-57,,-73,,,,,,,,,,,,-66,,-58
-89,,,,-89,,-89,-88,,,,,,,-75,,,,,,,,,,,,-82,,,,,,,-79,,,,-84,,,,-69,,,-83,-77,-57,,-73,,,,,,,,,,,,-66,,-58
,,-85,,,,-89,-85,,,,,,,,,,,,,,,,,,,-80,,,,,,,-78,,,,-84,,,,-68,,,-83,-77,-57,,-73,,,,,,,,,,,,-66,,-58
,,-85,,-90,,-89,-89,,,,,,,,,,,,,,,,,,,-81,,,,,,,-77,,,,-84,,,,-68,-84,,-82,-77,-58,,-73,,,,,,,,,,,,-66,,-58
,,,,-90,,,-89,,,,,,,-75,,,,,,,,,,,,-81,,,,,,,-73,,,,-83,,,,-68,-79,,-83,-76,-57,,-73,,,,,,,,,,,,-67,,-57
,,,,-91,,-89,-89,,,,,,,-75,,,,,,,,,,,,-81,,,,,,,-75,,,,-83,,,,-72,-79,,-82,-76,-60,,-73,,,,,,,,,,,,-67,,-60
-94,,,,-91,,-87,-89,,,,,,,,,,,,,,,,,,,-81,,,,,,,-75,,,,-83,,,,-69,-87,,-82,-76,-60,,-73,,,,,,,,,,,,-67,,-60
-94,,,,,,-87,-89,,,,,,,-75,,,,,,,,,,,,-81,,,,,,,-76,,,,-83,,,,-69,-88,,-85,-75,-59,,-73,,,,,,,,,,,,-67,,-59
,,,,-90,,-91,,,,,,,,-75,,,,,,,,,,,,-85,,,,,,,-78,,,,-83,,,,-73,-88,,-83,-76,-58,,-73,,,,,,,,,,,,-67,,-58
,,,,-90,,-91,,,,,,,,-75,,,,,,,,,,,,-82,,,,,,,-76,,,,-83,,,,-73,,,-83,-76,-58,,-73,,,,,,,,,,,,-67,,-58
,,,,,,-90,,,,,,,,-75,,,,,,,,,,,,-83,,,,,,,-78,,,,-83,,,,-69,,,-82,-76,-57,,-73,,,,,,,,,,,,-67,,-58
,,,,,,-90,-89,,,,,,,,,,,,,,,,,,,-79,,,,,,,-74,,,,-85,,,,-68,,,-82,-77,-57,,-73,,,,,,,,,,,,-66,,-58
,,,,,,,-89,,,,,,,-78,,,,,,,,,,,,-81,,,,,,,-77,,,,-85,,,,-68,-92,,-86,-77,-57,,-73,,,,,,,,,,,,-67,,-58
,,,,,,,-91,,,,,,,-78,,,,,,,,,,,,-81,,,,,,,-77,,,,-84,,,,-68,-92,,-85,-75,-57,,-73,,,,,,,,,,,,-67,,-58
,,,,,,,-90,,,,,,,,,,,,,,,,,,,-83,,,,,,,-76,,,,-82,,,,-68,,,-83,-76,-56,,-73,,,,,,,,,,,,-67,,-57
,,,,,,,-89,,,,,,,-76,,,,,,,,,,,,-83,,,,,,,-77,,,,-84,,,,-73,,,-83,-76,-57,,-73,,,,,,,,,,,,-68,,-57
-88,,,,,,,-91,,,,,,,-75,,,,,,,,,,,,-83,,,,,,,-76,,,,-84,,,,-69,,,,-78,-58,,-73,,,,,,,,,,,,-67,,-60
-88,,,,,,,-91,,,,,,,-75,,,,,,,,,,,,-83,,,,,,,-77,,,,-84,,,,-69,,,,-77,-58,,-73,,,,,,,,,,,,-68,,-59
-90,,,,-89,,-91,,,,,,,,-75,,,,,,,,,,,,-85,,,,,,,-76,,,,-84,,,,-74,,,,-77,-61,,-73,,,,,,,,,,,,-67,,-61
-89,,,,-89,,-91,,,,,,,,-76,,,,,,,,,,,,-83,,,,,,,-76,,,,-84,,,,-70,,,-85,-77,-59,,-73,,,,,,,,,,,,-66,,-60
-89,,,,-89,,-87,-89,,,,,,,-76,,,,,,,,,,,,-83,,,,,,,-77,,,,-83,,,,-69,,,-85,-78,-59,,-73,,,,,,,,,,,,-66,,-60
-87,,,,-89,,-87,-89,,,,,,,-76,,,,,,,,,,,,-82,,,,,,,-74,,,,-87,,,,-76,,,,-82,-56,,-74,,,,,,,,,,,,-66,,-57
-88,,-85,,,,,-88,,,,,,,-76,,,,,,,,,,,,-82,,,,,,,-73,,,,-87,,,,-76,,,-86,-78,-56,,-75,,,,,,,,,,,,-66,,-57
-88,,-85,,,,,-88,,,,,,,,,,,,,,,,,,,-82,,,,,,,-74,,,,-90,,,,-74,,,-86,-78,-58,,-73,,,,,,,,,,,,-65,,-59
,,,,,,,-87,,,-92,,,,-75,,,,,,,,,,,,-82,,,,,,,-73,,,,-84,,,,-76,,,,-77,-60,,-73,,,,,,,,,,,,-65,,-60
,,,,,,,-87,,,-92,,,,-75,,,,,,,,,,,,-82,,,,,,,-73,,,,-86,,,,-70,,,,-76,-60,,-73,,,,,,,,,,,,-65,,-60
-91,,,,-90,,,-87,,,,,,,-77,,,,,,,,,,,,-82,,,,,,,-73,,,,-84,,,,-68,,,,-78,-60,,-73,,,,,,,,,,,,-65,,-61
-90,,,,-90,,-89,-87,,,,,,,-77,,,,,,,,,,,,-82,,,,,,,-73,,,,-83,,,,-70,,,,-76,-61,,-73,,,,,,,,,,,,-65,,-61
-90,,,,,,-89,-87,,,,,,,-78,,,,,,,,,,,,-82,,,,,,,-73,,,,-83,,,,-70,,,-82,-76,-61,,-73,,,,,,,,,,,,-65,,-61
-90,,,,,,-89,-87,,,,,,,-78,,,,,,,,,,,,-83,,,,,,,-73,,,,-81,,,,-70,,,-82,-77,-61,,-73,,,,,,,,,,,,-65,,-61
,,,,,,-89,-87,,,,,,,-78,,,,,,,,,,,,-83,,,,,,,-73,,,,-81,,,,-70,,,-82,-80,-61,,-73,,,,,,,,,,,,-64,,-61
,,,,,,,-87,,,,,,,-78,,,,,,,,,,,,-83,,,,,,,-73,,,,-82,,,,-71,,,-84,-73,-60,,-73,,,,,,,,,,,,-65,,-59
-91,,,,,,,-87,,,,,,,-77,,,,,,,,,,,,-83,,,,,,,-73,,,,-84,,,,-71,,,-82,-74,-61,,-73,,,,,,,,,,,,-64,,-60
-91,,,,,,-89,,,,,,,,-77,,,,,,,,,,,,-83,,,,,,,-73,,,,-82,,,,-71,,,-82,-75,-61,,-73,,,,,,,,,,,,-64,,-61
,,,,,,-89,-87,,,-90,,,,-77,,,,,,,,,,-86,,-83,,,,,,,-73,,,,-82,,,,-71,,,-81,-76,-61,,-73,,,,,,,,,,,,-65,,-61
,,,,,,,-87,,,-90,,,,-78,,,,,,,,,,-86,,,,,,,,,-72,,,,-86,,,,-74,,,-80,-77,-60,,-73,,,,,,,,,,,,-65,,-59
,,-85,,-93,,,-87,,,,,,,-78,,,,,,,,,,,,-83,,,,,,,-71,,,,-82,,,,-72,,,-80,-77,-60,,-74,,,,,,,,,,,,-65,,-59
,,-85,,-93,,-92,-87,,,,,,,,,,,,,,,,,,,-83,,,,,,,-74,,,,-82,,,,-78,,,,-77,-59,,-76,,,,,,,,,,,,-69,,-58
-90,,,,-89,,-89,-87,,,,,,,,,,,,,,,,,,,-83,,,,,,,-76,,,,-90,,,,-74,,,-81,-80,-59,,-76,,,,,,,,,,,,-68,,-58
-90,,-84,,-90,,-89,-87,,,,,,,,,,,,,,,,,,,-83,,,,,,,-75,,,,-83,,,,-72,,,-84,-77,-61,,-75,,,,,,,,,,,,-67,,-60
,,-84,,-90,,-89,-88,,,,,,,,,,,,,,,,,,,-82,,,,,,,-75,,,,-82,,,,-71,,,-84,-77,-61,,-73,,,,,,,,,,,,-66,,-61
-91,,-84,,,,-89,-88,,,,,,,-77,,,,,,,,,,-85,,-82,,,,,,,-73,,,,-82,,,,-71,,,-80,-76,-61,,-72,,,,,,,,,,,,-65,,-61
-91,,,,-90,,,-89,,,,,,,-77,,,,,,,,,,-86,,-82,,,,,,,-73,,,,-82,,,,-71,,,-80,-76,-60,,-72,,,,,,,,,,,,-66,,-61
,,-85,,-90,,-90,-89,,,,,,,,,,,,,,,,,-86,,-82,,,,,,,-73,,,,-82,,,,-71,,,-83,-76,-61,,-73,,,,,,,,,,,,-66,,-61
,,-85,,-90,,-90,-88,,,,,,,-79,,,,,,,,,,,,-82,,,,,,,-73,,,,-82,,,,-71,,,-83,-76,-60,,-73,,,,,,,,,,,,-64,,-60
,,,,-90,,,-88,,,,,,,-79,,,,,,,,,,,,-82,,,,,,,-73,,,,-85,,,,-71,,,-87,-77,-60,,-73,,,,,,,,,,,,-65,,-60
,,,,-90,,,-88,,,,,,,,,,,,,,,,,,,-82,,,,,,,-73,,,,-83,,,,-70,,,-87,-77,-62,,-73,,,,,,,,,,,,-66,,-61
,,,,-90,,,-88,,,,,,,,,,,,,,,,,-87,,-82,,,,,,,-72,,,,-82,,,,-70,,,-87,-78,-61,,-73,,,,,,,,,,,,-65,,-61
,,,,-89,,,-88,,,,,,,-77,,,,,,,,,,-87,,,,,,,,,-72,,,,-82,,,,-71,,,,-77,-61,,-73,,,,,,,,,,,,-65,,-61
,,,,-89,,,-88,,,,,,,-76,,,,,,,,,,,,-81,,,,,,,-73,,,,-85,,,,-71,,,,-77,-61,,-72,,,,,,,,,,,,-65,,-61
,,,,,,,-88,,,,,,,-76,,,,,,,,,,,,-81,,,,,,,-73,,,,-83,,,,-73,,,-86,-78,-61,,-72,,,,,,,,,,,,-64,,-61
-89,,,,,,,-88,,,,,,,-76,,,,,,,,,,,,-83,,,,,,,-73,,,,-87,,,,-76,,,-86,-75,-61,,-73,,,,,,,,,,,,-65,,-61
-89,,,,,,,-87,,,,,,,-77,-90,,,,,,,,,,,-83,,,,,,,-77,,,,-83,,,,-73,,,,-78,-64,,-73,,,,,,,,,,,,-65,,-62
,,,,-89,,,-87,,,,-75,,,-76,-90,,,,,,,,,,,,,,,,,,-77,,,,-84,,,,-75,,,-82,-74,-54,,-79,,,,,,,,,,,,-73,,-54
,,,,-89,,,-91,,,,-83,,,-80,,,,,,,,,,,,,,,,,-92,,-78,,,,-88,,,,-81,,,-82,-78,-56,,-81,,,,,,,,,,,,-89,,-55
,,,,,,,-91,,,,-83,,,-80,,,,,,,,,,,,-86,,,,,-92,,-76,,,,-88,,-91,,-81,,,-76,-77,-57,,-81,,,,,,,,,,,,-89,,-57
,,,,,,,,,,,,,,-80,,,,,,,,,,-90,,-86,,,,,-91,,-76,,,,-89,,-90,,-86,,,-77,-78,-57,,-82,,,,,,,,,,,,-85,,-57
-92,,,,,,,-93,,,,,,,-80,,,,,,,,,,-89,,-87,,,,,-91,,-76,,,,-90,,-89,,-85,,,-77,-79,-57,,-82,,,,,,,,,,,,-84,,-57
-92,,,,,,,-93,,,,,,,-76,,,,,,,,,,-89,,-87,,,,,-92,,-76,,,,-90,,-89,,-85,,,-77,-79,-57,,-82,,,,,,,,,,,,-84,,-57
,,,,,-97,,,,,,,,,-75,,,,,,,,,,,,-87,,,,,-92,,-76,,,,-90,,-88,,-86,,,-77,-79,-56,,-82,,,,,,,,,,,,-87,,-57
,,,,,-97,,-93,,,,-89,,,-76,,,,,,,,,,-89,,-87,,,,,-90,,-77,,,,-88,,-89,,-89,,,-77,-79,-57,,-82,,,,,,,,,,,,-87,,-57
,,,,,,-89,-92,,,,-89,,,-81,,,,,,,,,,-89,,,,,,,-90,,-73,,,,-87,,-89,,-81,,,-79,-79,-57,,-82,,,,-91,,,,,,,,,,-57
,,,,,,-89,-92,,,,,,,-77,,,,,,,,,,-87,,-87,,,,,,,-69,,,,-86,,,,-85,,,-79,-81,-57,,-81,,,,-91,,,,,,,,-84,,-57
,,,,,,,,,,,,,-92,-76,,,,,,,,,,-89,,-87,,,,,-89,,-70,,,,-86,,,,-87,,,-81,-81,-57,,-81,,,,,,,,,,,,-84,,-56
,,,,-90,,,-90,,,,,,-92,-81,,,,,,,,,,-89,,,,,,,-89,,-72,,,,-86,,,,-88,,,-81,-81,-58,,-81,,,,,,,,,,,,-85,,-57
,,,,-90,,,-90,,,,,,,-76,,,,,,,,,,-88,,-85,,,,,,,-73,,,,-88,,,,-88,,,-81,-82,-58,,,,,,,,,,,,,,-85,,-58
,,,,,,,-90,,,,,,,-82,,,,,,,,,,-88,,-86,,,,,,,-72,,,,-86,,,,-87,,,-81,-81,-58,,-82,,,,,,,,,,,,-85,,-58
-93,,,,,,,-90,,,,,,-94,-78,,,,,,,,,,-88,,-86,,,,,,,-72,,,,-88,,,,-87,,,,-81,-58,,-83,,,,,,,,,,,,-84,,-59
-93,,,,,,,-90,,,,,,-94,-80,,,,,,,,,,-88,,-88,,,,,-90,,-73,,,,-87,,-90,,-84,,,-81,-83,-58,,-83,,,,,,,,,,,,-80,,-59
,,,,,,,-89,,,,,,,-75,,,,,,,,,,,,-88,,,,,-91,,-73,,,,-90,,-90,,-86,,,-81,-82,-58,,-82,,,,,,,,,,,,-83,,-59
,,,,,,,-90,,,,,,,-79,,,,,,,,,,-87,,-85,,,,,-91,,-73,,,,-89,,-90,,-88,,,-82,-81,-58,,-82,,,,,,,,,,,,-83,,-59
,,,,,,,-90,,,,,,,-77,,,,,,,,,,-87,,-85,,,,,-93,,-71,,,,-87,,-90,,-87,,,-82,-80,-58,,-85,,,,,,,,,,,,-83,,-58
,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,,-93,,-71,,,,-88,,,,-85,,,-83,-80,-56,,-85,,,,,,,,,,,,-83,,-57
,,,,,,,-95,,,,-90,,,-80,,,,,,,,,,,,,,,,,-90,,-71,,,,-87,,,,-85,,,-83,-80,-56,,-83,,,,,,,,,,,,-83,,-57
-94,,,,,,,-91,,,,-90,,,-79,,,,,,,,,,-88,,-83,,,,,-90,,-73,,,,-85,,-91,,-86,,,-81,-80,-56,,-82,,,,,,,,,,,,-83,,-57
-94,,,,,,,-90,,,,,,,-78,,,,,,,,,,-88,,-83,,,,,-91,,-74,,,,-86,,-91,,-87,,,-80,-82,-56,,-82,,,,,,,,,,,,-84,,-57
-90,,,,-93,,,-90,,,,,,,-78,,,,,,,,,,-88,,,,,,,-92,,-72,,,,-86,,,,-87,,,-80,-82,-58,,-82,,,,,,,,,,,,-82,,-58
-90,,,,-93,,,-90,,,,,,,-78,,,,,,,,,,-88,,,,,,,-92,,-72,,,,-88,,,,-83,,,,-81,-56,,-82,,,,,,,,,,,,-83,,-58
-93,,,,,,,-90,,,,,,-93,-75,,,,,,,,,,,,-86,,,,,,,-74,,,,-88,,-89,,-86,,,,-80,-58,,-82,,,,,,,,,,,,-83,,-58
